technology,year,parameter,value,unit,source
H2 CCGT,2030,efficiency,0.6,per unit,DIW DataDoc http://hdl.handle.net/10419/80348 p.41 para 1
H2 CCGT,2050,efficiency,0.6,per unit,DIW DataDoc http://hdl.handle.net/10419/80348 p.41 para 1
H2 OCGT,2020,investment,400,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348 p.41 para 1
H2 OCGT,2030,investment,400,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348 p.41 para 1
H2 OCGT,2050,investment,400,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348 p.41 para 1
H2 OCGT,2020,efficiency,0.3,per unit,DIW DataDoc http://hdl.handle.net/10419/80348 p.41 para 1
H2 OCGT,2030,efficiency,0.3,per unit,DIW DataDoc http://hdl.handle.net/10419/80348 p.41 para 1
H2 OCGT,2050,efficiency,0.3,per unit,DIW DataDoc http://hdl.handle.net/10419/80348 p.41 para 1
H2 salt cavern storage,2020,investment,0.024,USD/kWh,solution mined minimum from https://www.nrel.gov/docs/fy10osti/46719.pdf (0.02 $2008 -> $2020 via https://www.usinflationcalculator.com/)
H2 salt cavern storage,2030,investment,0.024,USD/kWh,solution mined minimum from https://www.nrel.gov/docs/fy10osti/46719.pdf (0.02 $2008 -> $2020 via https://www.usinflationcalculator.com/)
H2 salt cavern storage,2050,investment,0.024,USD/kWh,solution mined minimum from https://www.nrel.gov/docs/fy10osti/46719.pdf (0.02 $2008 -> $2020 via https://www.usinflationcalculator.com/)
H2 salt cavern storage,2020,lifetime,40,years,http://www.acatech.de/fileadmin/user_upload/Baumstruktur_nach_Website/Acatech/root/de/Publikationen/Materialien/ESYS_Technologiesteckbrief_Energiespeicher.pdf [To be confirmed applicable for salt cavern?]
H2 salt cavern storage,2030,lifetime,40,years,http://www.acatech.de/fileadmin/user_upload/Baumstruktur_nach_Website/Acatech/root/de/Publikationen/Materialien/ESYS_Technologiesteckbrief_Energiespeicher.pdf [To be confirmed applicable for salt cavern?]
H2 salt cavern storage,2050,lifetime,40,years,http://www.acatech.de/fileadmin/user_upload/Baumstruktur_nach_Website/Acatech/root/de/Publikationen/Materialien/ESYS_Technologiesteckbrief_Energiespeicher.pdf [To be confirmed applicable for salt cavern?]
H2 rock cavern storage,2020,investment,0.58,USD/kWh,maximum from https://www.nrel.gov/docs/fy10osti/46719.pdf (0.49 $2008 -> $2020 via https://www.usinflationcalculator.com/) 
H2 rock cavern storage,2030,investment,0.58,USD/kWh,maximum from https://www.nrel.gov/docs/fy10osti/46719.pdf (0.49 $2008 -> $2020 via https://www.usinflationcalculator.com/)
H2 rock cavern storage,2050,investment,0.58,USD/kWh,maximum from https://www.nrel.gov/docs/fy10osti/46719.pdf (0.49 $2008 -> $2020 via https://www.usinflationcalculator.com/)
H2 rock cavern storage,2020,lifetime,40,years,http://www.acatech.de/fileadmin/user_upload/Baumstruktur_nach_Website/Acatech/root/de/Publikationen/Materialien/ESYS_Technologiesteckbrief_Energiespeicher.pdf
H2 rock cavern storage,2030,lifetime,40,years,http://www.acatech.de/fileadmin/user_upload/Baumstruktur_nach_Website/Acatech/root/de/Publikationen/Materialien/ESYS_Technologiesteckbrief_Energiespeicher.pdf
H2 rock cavern storage,2050,lifetime,40,years,http://www.acatech.de/fileadmin/user_upload/Baumstruktur_nach_Website/Acatech/root/de/Publikationen/Materialien/ESYS_Technologiesteckbrief_Energiespeicher.pdf
H2 steel tank storage,2020,investment,11,EUR/kWh,http://dx.doi.org/10.1016/j.rser.2014.10.011
H2 steel tank storage,2030,investment,11,EUR/kWh,http://dx.doi.org/10.1016/j.rser.2014.10.011
H2 steel tank storage,2050,investment,11,EUR/kWh,http://dx.doi.org/10.1016/j.rser.2014.10.011
H2 steel tank storage,2020,lifetime,30,years, no source given in WHOBS?
H2 steel tank storage,2030,lifetime,30,years, no source given in WHOBS?
H2 steel tank storage,2050,lifetime,30,years, no source given in WHOBS?
battery inverter,2020,investment,600,USD/kW,extrapolated from http://dx.doi.org/10.1016/j.jpowsour.2012.09.054
battery inverter,2030,investment,400,USD/kW,extrapolated from http://dx.doi.org/10.1016/j.jpowsour.2012.09.054
battery inverter,2050,investment,200,USD/kW,extrapolated from http://dx.doi.org/10.1016/j.jpowsour.2012.09.054
battery inverter,2020,efficiency,0.9,per unit,http://dx.doi.org/10.1016/j.jpowsour.2012.09.054
battery inverter,2030,efficiency,0.9,per unit,http://dx.doi.org/10.1016/j.jpowsour.2012.09.054
battery inverter,2050,efficiency,0.9,per unit,http://dx.doi.org/10.1016/j.jpowsour.2012.09.054
battery storage,2020,investment,300,USD/kWh,extrapolated from http://dx.doi.org/10.1016/j.jpowsour.2012.09.054 consistent with https://doi.org/10.1038/nclimate2564
battery storage,2030,investment,200,USD/kWh,extrapolated from http://dx.doi.org/10.1016/j.jpowsour.2012.09.054 consistent with https://doi.org/10.1038/nclimate2564
battery storage,2050,investment,150,USD/kWh,extrapolated from http://dx.doi.org/10.1016/j.jpowsour.2012.09.054 consistent with https://doi.org/10.1038/nclimate2564
interconnector,2020,investment,1140,EUR/kW,based on IE-EWIC 500MW @ €570M (2012) https://www.cru.ie/wp-content/uploads/2012/07/cer12149.pdf pg 8 
interconnector,2030,investment,1140,EUR/kW,based on IE-EWIC 500MW @ €570M (2012) https://www.cru.ie/wp-content/uploads/2012/07/cer12149.pdf pg 8
interconnector,2050,investment,1140,EUR/kW,based on IE-EWIC 500MW @ €570M (2012) https://www.cru.ie/wp-content/uploads/2012/07/cer12149.pdf pg 8
interconnector,2020,efficiency,0.94,per unit,based on IE-EWIC losses of 30MW at rated (500MW) power http://www.eirgrid.ie/site-files/library/EirGrid/EWIC_IEI%20Presentation%2029.04.10.ppt.pdf
interconnector,2030,efficiency,0.94,per unit,based on IE-EWIC losses of 30MW at rated (500MW) power http://www.eirgrid.ie/site-files/library/EirGrid/EWIC_IEI%20Presentation%2029.04.10.ppt.pdf
interconnector,2050,efficiency,0.94,per unit,based on IE-EWIC losses of 30MW at rated (500MW) power http://www.eirgrid.ie/site-files/library/EirGrid/EWIC_IEI%20Presentation%2029.04.10.ppt.pdf

